gobject_id,timestamp_of_delete
6982,00000000000966FE
6983,0000000000096744
6984,0000000000096793
6986,000000000009681D
6987,0000000000096822
6981,0000000000096825
gobject_id,template_definition_id,derived_from_gobject_id,contained_by_gobject_id,area_gobject_id,hosted_by_gobject_id,checked_out_by_user_guid,default_symbol_gobject_id,default_display_gobject_id,checked_in_package_id,checked_out_package_id,deployed_package_id,last_deployed_package_id,tag_name,contained_name,identity_guid,configuration_guid,configuration_version,deployed_version,is_template,is_hidden,software_upgrade_needed,hosting_tree_level,hierarchical_name,namespace_id,deployment_pending_status
1,1,0,0,0,0,,0,0,1,0,0,0,$Galaxy,,{A6A7B36C-5C55-4043-84D5-840080C8C893},{9F87460E-DFD0-441C-8957-106F076521DC},1,0,-1,-1,0,0,$Galaxy,1,0
2,1,1,0,0,0,,0,0,7539,0,0,0,LLC_Galaxy,,{41B52D33-39F5-487A-ACBD-B47305CAAB66},{6B82CCA1-5271-486C-A60A-1BEB85981238},16,0,0,-1,0,0,Galaxy_001,1,0
3,2,0,0,0,0,,0,0,4,0,0,0,$_AutoImport,,{15A66A70-B351-4CA6-8615-E0BC40FBE09F},{62464F28-4783-4C00-A630-D2A3C1B16578},1,0,-1,-1,0,0,$_AutoImport,1,0
4,3,0,0,0,0,,0,0,5,0,0,0,$_DiCommon,,{D5DCCC0C-A25A-425D-A36E-2614F96971EE},{F327A698-9A31-4FC0-99AC-FBDD4AD715C3},1,0,-1,-1,0,0,$_DiCommon,1,0
5,4,0,0,0,0,,0,0,6,0,0,0,$WinPlatform,,{1DBEA312-30EF-4200-BF3E-B7173E0ACE2B},{A42BFEBC-7052-468D-950A-9287332B363F},1,0,-1,0,0,0,$WinPlatform,1,0
6,5,0,0,0,0,,0,0,7,0,0,0,$AppEngine,,{2E9D2C59-4F78-4C21-8691-DE6B70F94447},{637F9326-730D-4DA3-BC9D-14CF2A8583B2},1,0,-1,0,0,0,$AppEngine,1,0
7,6,0,0,0,0,,0,0,8,0,0,0,$Area,,{0547E83D-06A9-4EBF-9566-0068A6C80AE6},{723D1C7A-EE81-447C-AE4A-7D85033149D1},1,0,-1,0,0,0,$Area,1,0
8,7,0,0,0,0,,0,0,9,0,0,0,$AnalogDevice,,{04CB5EC1-17E4-4B24-AF0E-B19A941B72ED},{38323841-1E6F-4B77-9EE0-CE5FC5F80581},1,0,-1,0,0,0,$AnalogDevice,1,0
9,8,0,0,0,0,,0,0,10,0,0,0,$DDESuiteLinkClient,,{D7922251-532D-488F-BFBD-8B52B2ACA113},{E12A0555-9BF9-430B-BCA9-F0334696F161},1,0,-1,0,0,0,$DDESuiteLinkClient,1,0
10,9,0,0,0,0,,0,0,11,0,0,0,$DiscreteDevice,,{9F6C2E3C-4DB3-410E-9D48-9D2D9B2B628F},{670F488C-1527-404B-BE59-B42EB82E6DD8},1,0,-1,0,0,0,$DiscreteDevice,1,0
11,10,0,0,0,0,,0,0,12,0,0,0,$InTouchProxy,,{ACDB7EC0-DC92-472B-A779-49A4867C737C},{1FCED9F1-598B-4810-93EA-DCE6B21B9A7E},1,0,-1,0,0,0,$InTouchProxy,1,0
12,11,0,0,0,0,,0,0,13,0,0,0,$OPCClient,,{9420456B-675C-4C01-8BC4-533026FD7655},{504EA6F4-3590-4407-82BD-E8312D9524B2},1,0,-1,0,0,0,$OPCClient,1,0
13,12,0,0,0,0,,0,0,14,0,0,0,$RedundantDIObject,,{22B745C4-CF32-4B69-9954-CB2640469378},{B7611845-08BF-467B-AE2E-5693B372F463},1,0,-1,0,0,0,$RedundantDIObject,1,0
14,13,0,0,0,0,,0,0,15,0,0,0,$UserDefined,,{0C8A6A2F-29D8-402C-ADF3-80007CCF6BDE},{7923FD3C-B6DB-4BE1-AA8B-89C9D67E307F},1,0,-1,0,0,0,$UserDefined,1,0
15,14,0,0,0,0,,0,0,16,0,0,0,$ClientControl,,{1DB01D08-E45B-489A-9925-C3901EF60F85},{46A16659-01D5-4244-9671-836DAA343A40},1,0,-1,0,0,0,$ClientControl,3,0
16,14,15,0,0,0,,0,0,17,0,0,0,aaTrendControl,,{9E5F5CF2-2A5E-4651-97AE-F79A23DA55BB},{25EC105B-8EF6-437B-8ED6-2F4BF93C85AB},1,0,0,0,0,4,aaTrendControl,3,0
17,15,0,0,0,0,,0,0,18,0,0,0,$ExternalContent,,{C73B56AA-D753-4E6C-B0F0-2B1724CF9727},{FDA893DC-6AB2-47E6-9050-182A908EC0EF},1,0,-1,0,0,0,$ExternalContent,3,0
